,index,xi_0,observations,order,run_id,step
0,0,1.0097998,1.9004197120666504,1,1,1
1,1,25.504898,100.69766235351562,2,1,1
2,2,49.999996,237.00396728515625,3,1,1
3,3,74.4951,122.53651428222656,4,1,1
4,4,98.990204,58.76800537109375,5,1,1
5,0,1.0097998,1.9004197120666504,1,1,201
6,1,25.504898,100.69766235351562,2,1,201
7,2,49.999996,237.00396728515625,3,1,201
8,3,74.4951,122.53651428222656,4,1,201
9,4,98.990204,58.76800537109375,5,1,201
10,0,1.0097998,1.9004197120666504,1,1,401
11,1,25.504898,100.69766235351562,2,1,401
12,2,49.999996,237.00396728515625,3,1,401
13,3,74.4951,122.53651428222656,4,1,401
14,4,98.990204,58.76800537109375,5,1,401
15,0,1.0097998,1.9004197120666504,1,1,601
16,1,25.504898,100.69766235351562,2,1,601
17,2,49.999996,237.00396728515625,3,1,601
18,3,74.4951,122.53651428222656,4,1,601
19,4,98.990204,58.76800537109375,5,1,601
20,0,1.0097998,1.9004197120666504,1,1,801
21,1,25.504898,100.69766235351562,2,1,801
22,2,49.999996,237.00396728515625,3,1,801
23,3,74.4951,122.53651428222656,4,1,801
24,4,98.990204,58.76800537109375,5,1,801
